LocationID,zone,borough,lat,lon,longitude,latitude
1,Newark Airport,EWR,191376.749530832,935996.8210162064,-74.17400156582248,40.69183016020959
2,Jamaica Bay,Queens,164018.75440320166,1031085.7186032844,-73.83129979354713,40.61674619937379
3,Allerton/Pelham Gardens,Bronx,254265.47865856893,1026452.6168734728,-73.8474217852696,40.86447372906584
4,Alphabet City,Manhattan,202959.7823911368,990633.980641048,-73.97696827424141,40.72375208451233
5,Arden Heights,Staten Island,140681.35137597343,931871.370068014,-74.18848459794721,40.55265878064343
6,Arrochar/Fort Wadsworth,Staten Island,157998.9356119239,964319.735448061,-74.07177024696533,40.600324409468406
7,Astoria,Queens,216719.21816867893,1006496.6791586808,-73.91969433569462,40.761492617043125
8,Astoria Park,Queens,222936.08755158543,1005551.5711778702,-73.92308626324494,40.77855862576789
9,Auburndale,Queens,212969.8490136597,1043002.6774243254,-73.78794875477833,40.75103435668664
10,Baisley Park,Queens,186706.4964691572,1042223.6050722592,-73.79098676199028,40.67895308442328
11,Bath Beach,Brooklyn,159429.3168836981,982170.7832338788,-74.00748784386448,40.60427268170344
12,Battery Park,Manhattan,195378.9728508775,979934.7305677244,-74.01556349991372,40.70294582144012
13,Battery Park City,Manhattan,198691.52543753176,979792.331028984,-74.01607927269924,40.712037924667264
14,Bay Ridge,Brooklyn,166921.55042206828,975952.0350819234,-74.0298925099,40.62483367229869
15,Bay Terrace/Fort Totten,Queens,224738.6129755755,1043521.3830455702,-73.78597285841018,40.7833330046879
16,Bayside,Queens,217243.7604961802,1047016.784330188,-73.77342112932584,40.76273753216493
17,Bedford,Brooklyn,191215.0683591191,998142.206078638,-73.94990480444068,40.69150702161197
18,Bedford Park,Bronx,255416.7421530116,1014623.3272763422,-73.89018381164814,40.86768222238494
19,Bellerose,Queens,207352.35251648712,1060002.7496102,-73.72665540152784,40.73548651046706
20,Belmont,Bronx,251810.303512513,1015821.8614530906,-73.88586744911127,40.857779440562844
21,Bensonhurst East,Brooklyn,158393.65778602433,988821.3915776814,-73.98353783537917,40.60142907301775
22,Bensonhurst West,Brooklyn,162323.8287235864,985566.4176542888,-73.99525864587314,40.61221766982795
23,Bloomfield/Emerson Hill,Staten Island,160268.1237133335,936800.3814228632,-74.17088508711593,40.60644824321443
24,Bloomingdale,Manhattan,231458.3760559646,993807.2716583572,-73.96547935663406,40.80197051563418
25,Boerum Hill,Brooklyn,189071.57913936637,988101.2213261976,-73.98611374739605,40.68563370139058
26,Borough Park,Brooklyn,169148.40746897226,987397.4626662626,-73.98866057160336,40.630949253264255
27,Breezy Point/Fort Tilden/Riis Beach,Queens,142998.097106859,1010116.0525911167,-73.90691199328067,40.559134755628214
28,Briarwood/Jamaica Hills,Queens,198588.18036389697,1037276.450260145,-73.80872922918115,40.71159648931973
29,Brighton Beach,Brooklyn,150924.27687794657,995023.0950078964,-73.96121662082737,40.580921751571346
30,Broad Channel,Queens,159266.0868838442,1033697.3819386284,-73.82192752206782,40.60368693988757
31,Bronx Park,Bronx,251801.91339506747,1018696.4006329516,-73.87547602176667,40.85774566451417
32,Bronxdale,Bronx,254085.68414675997,1021618.2183901308,-73.86490091353166,40.864002036456434
33,Brooklyn Heights,Brooklyn,192774.49236567307,985567.139360788,-73.99525009947318,40.6957980847225
34,Brooklyn Navy Yard,Brooklyn,194618.42574558523,992238.7448684232,-73.97118860464191,40.70085574405344
35,Brownsville,Brooklyn,181203.32110491276,1009147.2314989058,-73.91025776959916,40.664002936640344
36,Bushwick North,Brooklyn,194506.2645740725,1007067.3784547452,-73.91770956300488,40.70052207677384
37,Bushwick South,Brooklyn,192491.0725491703,1005813.8376355435,-73.92223688327465,40.69499398960586
38,Cambria Heights,Queens,192354.37534157524,1057581.8857305443,-73.73555411751046,40.69434123971375
39,Canarsie,Brooklyn,171746.3489405953,1012077.4831532118,-73.8997346848635,40.63803689672939
40,Carroll Gardens,Brooklyn,186726.9441730333,985371.6110268092,-73.99595622535054,40.67919897887253
41,Central Harlem,Manhattan,232321.2905475168,997734.6452331402,-73.95129204385638,40.804333857858566
42,Central Harlem North,Manhattan,237395.8715478042,1000643.632259087,-73.94077208625764,40.8182572500734
43,Central Park,Manhattan,224356.21221165065,993789.009698532,-73.96555540550199,40.78247701262984
44,Charleston/Tottenville,Staten Island,130813.71730920512,919325.6707014752,-74.23353546082052,40.52549110546785
45,Chinatown,Manhattan,198844.63611660185,984762.4692829204,-73.99815145865519,40.712459285136994
46,City Island,Bronx,248697.32700109552,1044565.4049743084,-73.78198762631824,40.849085690707966
47,Claremont/Bathgate,Bronx,246329.04426500175,1011831.0101993148,-73.90031694602852,40.84274838600792
48,Clinton East,Manhattan,216986.0700337488,987063.1857021254,-73.98984489812494,40.76225259858687
49,Clinton Hill,Brooklyn,189923.67993134004,994687.7989075348,-73.96236337094902,40.687967206026975
50,Clinton West,Manhattan,218437.82028573463,985597.5343919232,-73.99513534858681,40.76623762332451
51,Co-Op City,Bronx,257736.0317728284,1031744.9710915012,-73.82826339600581,40.87397243195906
52,Cobble Hill,Brooklyn,189441.98718140792,985158.534254694,-73.99672407074303,40.6866511779156
53,College Point,Queens,223823.0827350797,1027782.0265390344,-73.84281297899702,40.780911658515755
54,Columbia Street,Brooklyn,189642.16029755108,983442.583194162,-74.00291135102258,40.68720061705318
55,Coney Island,Brooklyn,149479.23529518777,987599.1763107228,-73.98794360684474,40.576961310705336
56,Corona,Queens,209422.59485546063,1023365.172611275,-73.85884527575628,40.741406719488175
56,Corona,Queens,213218.63492434,1024817.4538048006,-73.8535815482027,40.751819339588245
58,Country Club,Bronx,245891.95429244667,1033945.796695428,-73.8203932847595,40.84145193921358
59,Crotona Park,Bronx,244801.2399171087,1013307.866885172,-73.89498592772226,40.83855027505839
60,Crotona Park East,Bronx,243143.05780958597,1015824.0717104394,-73.88590027069773,40.83399041103506
61,Crown Heights North,Brooklyn,185009.7476950033,1001091.0141538236,-73.93928693565553,40.674469714192334
62,Crown Heights South,Brooklyn,182119.2885742171,998457.1474750465,-73.94878830363868,40.666540670529315
63,Cypress Hills,Brooklyn,188441.23189381984,1018038.508018096,-73.87817285854474,40.68383988904548
64,Douglaston,Queens,216496.53369807045,1056461.1692268404,-73.73933650195845,40.760614500455986
65,Downtown Brooklyn/MetroTech,Brooklyn,192606.94834778877,988108.3766447256,-73.98608592282788,40.69533747220738
66,DUMBO/Vinegar Hill,Brooklyn,195128.66351404483,988214.5459807584,-73.98570157061832,40.70225894512564
67,Dyker Heights,Brooklyn,165020.58539900745,980418.277887647,-74.01380228070624,40.6196189778478
68,East Chelsea,Manhattan,211948.91240008167,984272.778632622,-73.99991779023728,40.7484273300986
69,East Concourse/Concourse Village,Bronx,242196.03761468016,1007764.085658132,-73.91503006977001,40.83141625187568
70,East Elmhurst,Queens,217413.87058175213,1020706.745137329,-73.86839538867875,40.76335208099607
71,East Flatbush/Farragut,Brooklyn,174013.8443005886,1001465.1562155226,-73.93796619973367,40.6442876673477
72,East Flatbush/Remsen Village,Brooklyn,176959.91492476902,1005823.7039946364,-73.92225101477305,40.652364445415
73,East Flushing,Queens,214077.6206734465,1037640.2378106111,-73.80729410936029,40.75410890581649
74,East Harlem North,Manhattan,231170.7231356335,1001596.4822018786,-73.9373456595586,40.80116912880846
75,East Harlem South,Manhattan,227103.7596245498,999272.1113831652,-73.94575022751276,40.79001067629398
76,East New York,Brooklyn,180096.55428265326,1018425.395770319,-73.87682021500527,40.660934157913516
77,East New York/Pennsylvania Avenue,Brooklyn,182139.0472945757,1013278.1286526012,-73.89536390861545,40.666558715822845
78,East Tremont,Bronx,247139.9702458552,1015923.6509313948,-73.88552154399945,40.84496040702046
79,East Village,Manhattan,204368.5018753222,988147.6579909977,-73.98593745737395,40.727620122038296
80,East Williamsburg,Brooklyn,199911.28634464616,1001771.8842984998,-73.9367935879161,40.71536964922733
81,Eastchester,Bronx,260268.37646953636,1029422.4201378656,-73.83664438963196,40.880935114970065
82,Elmhurst,Queens,208718.5892501581,1018302.534288022,-73.8771183310234,40.73949534354323
83,Elmhurst/Maspeth,Queens,208286.3127456639,1014131.0479577216,-73.89217342295797,40.73832393052052
84,Eltingville/Annadale/Prince's Bay,Staten Island,131946.88658336038,932076.4501930304,-74.18767927741463,40.528685582160755
85,Erasmus,Brooklyn,174677.62359658885,997674.78128442,-73.95162326816249,40.64611615465671
86,Far Rockaway,Queens,158853.81499105782,1052215.570598313,-73.75524330826842,40.60243266654381
87,Financial District North,Manhattan,196785.94084490495,982171.727891981,-74.00749595416085,40.706808425516016
88,Financial District South,Manhattan,195528.92479920076,981057.2642958591,-74.0115150281245,40.70335788054845
89,Flatbush/Ditmas Park,Brooklyn,171682.828384498,995082.8902422966,-73.96096805763649,40.63789963509721
90,Flatiron,Manhattan,209708.74184834195,985089.2186553576,-73.99697147759031,40.742278583312206
91,Flatlands,Brooklyn,167452.06576771155,1003654.1440255484,-73.93009718315575,40.62627246088452
92,Flushing,Queens,216612.8159510848,1031660.7208707302,-73.82885854846761,40.7611014398131
93,Flushing Meadows-Corona Park,Queens,209164.12047047325,1028348.080639231,-73.84086521275654,40.74067383007372
94,Fordham South,Bronx,251942.57172494623,1012040.665243386,-73.89953594476775,40.858155189262895
95,Forest Hills,Queens,202150.22155636092,1026474.8421587804,-73.84766908657137,40.72143156737173
96,Forest Park/Highland Park,Queens,193239.00952966628,1019865.1809046712,-73.8715612898338,40.697001507866105
97,Fort Greene,Brooklyn,190949.61806373845,991215.6982442432,-73.9748820144768,40.690786583767746
98,Fresh Meadows,Queens,206939.6178548511,1045981.3581738912,-73.77725343413134,40.73446263709749
99,Freshkills Park,Staten Island,149465.339574893,932463.5770637904,-74.18642081572338,40.57677255023222
100,Garment District,Manhattan,213801.8903360138,987356.7624025444,-73.98878660966813,40.75351274051303
101,Glen Oaks,Queens,211194.12738601945,1064321.6844356095,-73.7110254285456,40.74599312386359
102,Glendale,Queens,195621.72184014547,1018703.895664441,-73.87573702732386,40.7035460869547
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,190614.3221264578,971690.5178691468,-74.04528828347375,40.68986010346147
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,193859.36077724292,972944.834560436,-74.04077078511479,40.69876867282886
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,190219.67387671876,978960.5655138264,-74.01907288309684,40.68878421555262
106,Gowanus,Brooklyn,184655.37448370285,986844.2853590192,-73.99064755008082,40.67351267831398
107,Gramercy,Manhattan,207721.84599820204,988669.5907152938,-73.98405214924436,40.73682398302768
108,Gravesend,Brooklyn,153648.26672411078,989407.3274538668,-73.9814314279712,40.58840360836442
109,Great Kills,Staten Island,140370.83697271615,942318.0695212188,-74.15089028926955,40.55186202510041
110,Great Kills Park,Staten Island,138144.9262860037,948580.606957768,-74.12834311100727,40.54577972821088
111,Green-Wood Cemetery,Brooklyn,176867.70260620638,986959.7652887184,-73.9902343725197,40.65213720698318
112,Greenpoint,Brooklyn,205059.36264106684,998235.393848758,-73.94954001249944,40.72950616875672
113,Greenwich Village North,Manhattan,206174.92383447656,985828.421266087,-73.9943047162786,40.732579026253674
114,Greenwich Village South,Manhattan,204630.6079875288,984976.121743974,-73.9973801630823,40.72834036831643
115,Grymes Hill/Clifton,Staten Island,164432.11292961225,959864.0081423334,-74.0878388464394,40.61797101224406
116,Hamilton Heights,Manhattan,240584.4096847475,998496.7141201992,-73.94852183123933,40.82701260635661
117,Hammels/Arverne,Queens,155778.33770686,1042676.051909837,-73.78962334973271,40.59405915427385
118,Heartland Village/Todt Hill,Staten Island,153002.19989383093,947313.2115533688,-74.13298451453818,40.58655482658561
119,Highbridge,Bronx,244528.83953167716,1004682.7553744144,-73.92615757846964,40.837826783716714
120,Highbridge Park,Manhattan,247748.7275321737,1003566.2603626964,-73.9301832301702,40.8466669452917
121,Hillcrest/Pomonok,Queens,204689.62747248285,1039005.1967439284,-73.80244388409426,40.72833291964906
122,Hollis,Queens,198271.7856382352,1050471.5070567904,-73.76113689765596,40.71063914369108
123,Homecrest,Brooklyn,157857.78764196427,994154.4642102672,-73.96433354731992,40.59995386265359
124,Howard Beach,Queens,179131.7944112152,1027278.1400976918,-73.8449181204672,40.6582475138648
125,Hudson Sq,Manhattan,203883.8201161869,982175.1477564898,-74.0074858070925,40.72629040399525
126,Hunts Point,Bronx,235158.3269340541,1015935.0216336484,-73.8855370337455,40.81207420841891
127,Inwood,Manhattan,254822.37005747703,1006568.4872156872,-73.9193084235328,40.866074893138844
128,Inwood Hill Park,Manhattan,257117.8925632856,1005166.552859076,-73.92436989163414,40.872378832666904
129,Jackson Heights,Queens,215206.60151323935,1016021.9707671712,-73.88531729044865,40.75731177578825
130,Jamaica,Queens,195964.28511474805,1041371.2864290018,-73.79398113023713,40.70436904839545
131,Jamaica Estates,Queens,201910.06961972587,1046313.573758885,-73.77610108565929,40.72065547306544
